english,telugu
How,ఎలా
are,ఉన్నాయి
you,మీరు
How are you ?,మీరు ఎలా ఉన్నారు ?
Who is,ఎవరు
that man,ఆ వ్యక్తి
Who is that man ?,ఎవరు అతను ?
Where ,ఎక్కడ
Where do you live ?,మీరు ఎక్కడ నివసిస్తున్నారు ?
What,ఏమిటి
What do you eat for breakfast ?,మీరు అల్పాహారంగా ఏమి తింటారు ?
Good morning,శుభోదయం
Good afternoon,శుభ మద్యాహ్నం
My name is supraja,నా పేరు సుప్రజ
I am studying,నేను చదువుకుంటున్నాను
I am studying english,నేను ఆంగ్లము చదువుచున్నాను
I am doing a job,నేను ఉద్యోగం చేస్తున్నాను
I live in Bangalore,నేను బెంగళూరులో ఉంటున్నాను
Thank you,ధన్యవాదాలు
I can speak in english,నేను ఇంగ్లీషులో మాట్లాడగలను